Nazwa|Cena|Stan nieruchomości|Pow. całkowita|Pow. użytkowa|Piętro|Liczba pięter|Liczba poziomów mieszkania|Typ kuchni|Liczba łazienek|Pow. łazienki|łazienka razem z WC|Balkon|Taras|Rynek|Dostępne od|Forma własności|Rodzaj umowy|Typ budynku|Materiał budowlany|Rok budowy|Stan budynku|Ogrzewanie|Data dodania|Aktualizacja|Numer ogłoszenia|Liczba odsłon|Liczba Punktów Podbić|Inwestycja|Pow. ogródka|Liczba sypialni|Pow. tarasu|Pow. loggii|Wysokość wnętrza|Stolarka okienna|Pow. balkonu|Dodatkowe koszty|Cena do negocjacji|Typ nieruchomości|Typ domu|Pow. działki|Lokalizacja garażu
Dwupoziomowe mieszkanie w pięknej okolicy|995 000 zł|Bardzo dobry|137 m²|113 m²|1/2|2|2|Aneks|2|8 m²|Tak|Tak|Tak|Wtórny|2024-04-10|Własność|Na wyłączność|Apartamentowiec|Bloczki|2013|Bardzo dobry|Miejskie|09.04.2024|09.04.2024|morizon-233|16|0||||||||||||||
Mieszkanie ENERGOOSZCZĘDNE 90m² z ogrodem, bez czynszu 20 min.do centrum Gdańska|360 185 zł|Do wykończenia|90 m²||||2|Aneks|2||Tak||Tak|Pierwotny||Własność||Dom wielorodzinny|Pustak|2025|||21.03.2024|21.03.2024|morizon-Mieszkanie|1 762|354|Domm 90M2 Z Ogrodem|200 m²||||||||||||
klimatyczne 3 pokoje z balkonem przy Ołowiance|1 386 000 zł||77 m²||1/3|3|1|||||Tak||Wtórny|||Na wyłączność|Kamienica|Cegła|1921||Gazowe|06.03.2024|27.03.2024|morizon-WH537651|258|258|||2|||||||||||
2 pokoje Jaśkowa Dolina Cordia|999 000 zł||55,50 m²||2/3|3|1|||||Tak||Wtórny|||Na wyłączność|Apartamentowiec|Cegła|2023||Co Miejskie|09.01.2024|17.01.2024|morizon-WH882864|563|258|||1|||||||||||
Mieszkanie 2 pokoje Gdańsk Przymorze|539 000 zł||46 m²||8/10|10|1|||||Tak||Wtórny|2024-04-05||Na wyłączność|Falowiec|Cegła|1973||Co Miejskie|03.04.2024|10.04.2024|morizon-WH105140|153|257||||||||||||||
Apartament, Osiedle Moderna Scala, hala, komórka|1 710 000 zł||90 m²||5/5|5|1|||||||Wtórny||||Apartamentowiec|Cegła|2017||Co Miejskie|11.03.2024|13.03.2024|morizon-WH978855|118|256|||2|||||||||||
Opis nieruchomości|Zarezerwowano||40,15 m²|||||||||||Pierwotny||||||2025|||27.03.2024|10.04.2024|morizon-B2-B2.10|16|209|Quercus|||||||||||||
Opis nieruchomości|387 000 zł||31,84 m²|||||||||||Pierwotny||||||2025|||17.07.2023|10.04.2024|morizon-B2-B2.32|783|203|Quercus|||||||||||||
Opis nieruchomości|819 900 zł||65,57 m²|||3||||||||Pierwotny||||||2024|||29.03.2024|03.04.2024|morizon-0.8|74|200|Apartamenty Diuna|||10,62 m²|84 m²|||||||||
Opis nieruchomości|552 900 zł||34,62 m²|||3||||||||Pierwotny||||||2024|||29.03.2024|03.04.2024|morizon-0.2|106|196|Apartamenty Diuna|||7,92 m²|84,77 m²|||||||||
